instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms
docs/inst_test/instancias/n_1000_1,300,10,7,20,0.1000,12,9996297294,9996292549,94
docs/inst_test/instancias/n_1000_1,300,10,7,20,0.2000,202,9996357003,9996352914,82
docs/inst_test/instancias/n_1000_1,300,10,7,20,0.2000,12,9999827461,9999822909,99
docs/inst_test/instancias/n_1000_1,300,10,7,20,0.1000,202,9996297269,9996292641,115
docs/inst_test/instancias/n_1000_1,300,10,7,20,0.3000,4,9995356982,9995352887,79
docs/inst_test/instancias/n_1000_1,300,10,7,20,0.3000,202,9999887049,9999883486,56
docs/inst_test/instancias/n_1000_1,300,10,7,20,0.3000,12,9995416287,9995413420,78
docs/inst_test/instancias/n_1000_1,300,10,10,5,0.1000,4,9998296816,9998292965,77
docs/inst_test/instancias/n_1000_1,300,10,10,5,0.2000,4,9999887084,9999883400,72
docs/inst_test/instancias/n_1000_1,300,10,10,5,0.1000,202,9997297340,9997292710,89
docs/inst_test/instancias/n_1000_1,300,10,10,5,0.3000,4,9999887081,9999883504,56
docs/inst_test/instancias/n_1000_1,300,10,10,5,0.2000,12,9999827461,9999822909,86
docs/inst_test/instancias/n_1000_1,300,10,10,5,0.1000,12,9998297366,9998292698,119
docs/inst_test/instancias/n_1000_1,300,10,10,5,0.3000,12,9999946166,9999943966,80
docs/inst_test/instancias/n_1000_1,300,10,10,5,0.2000,202,9999886938,9999883405,94
docs/inst_test/instancias/n_1000_1,300,10,10,5,0.3000,202,9999887049,9999883486,78
docs/inst_test/instancias/n_1000_1,300,10,10,10,0.1000,202,9996297269,9996292641,62
docs/inst_test/instancias/n_1000_1,300,10,10,10,0.1000,4,9997297326,9997292698,79
docs/inst_test/instancias/n_1000_1,300,10,10,10,0.1000,12,9996297329,9996292638,85
docs/inst_test/instancias/n_1000_1,300,10,10,10,0.2000,12,9999827461,9999822909,75
docs/inst_test/instancias/n_1000_1,300,10,10,10,0.2000,4,9999357296,9999353185,94
docs/inst_test/instancias/n_1000_1,300,10,10,10,0.3000,4,9999886810,9999883434,72
docs/inst_test/instancias/n_1000_1,300,10,10,10,0.2000,202,9997886879,9997883264,74
docs/inst_test/instancias/n_1000_1,300,10,10,10,0.3000,12,9998416536,9998413562,64
docs/inst_test/instancias/n_1000_1,300,10,10,10,0.3000,202,9999887049,9999883486,53
docs/inst_test/instancias/n_1000_1,300,10,10,20,0.1000,4,9995297223,9995292560,109
docs/inst_test/instancias/n_1000_1,300,10,10,20,0.3000,12,9995416287,9995413420,71
docs/inst_test/instancias/n_1000_1,300,10,10,20,0.1000,12,9996297294,9996292549,111
docs/inst_test/instancias/n_1000_1,300,10,10,20,0.1000,202,9996297269,9996292641,109
docs/inst_test/instancias/n_1000_1,300,10,10,20,0.3000,4,9995356982,9995352887,100
docs/inst_test/instancias/n_1000_1,300,10,10,20,0.2000,202,9996357003,9996352914,104
docs/inst_test/instancias/n_1000_1,300,10,10,20,0.2000,4,9999357296,9999353185,108
