instance,ants,iterations,alpha,beta,rho,q,stall,seed,best_value,total_weight,elapsed_ms
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,50,2026,9989474305,9989473965,478
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,120,123,9989474305,9989473965,433
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,80,42,9989474305,9989473965,520
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,1.0000,80,42,9989474305,9989473965,421
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,120,2026,9989474305,9989473965,476
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,0.5000,120,2026,9989474305,9989473965,868
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,80,2026,9989474305,9989473965,557
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,2.0000,50,2026,9989474305,9989473965,399
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,1.0000,50,42,9989474305,9989473965,485
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,1.0000,50,123,9989474305,9989473965,496
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,1.0000,80,2026,9989474305,9989473965,478
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,80,2026,9989474305,9989473965,730
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,1.0000,120,42,9989474305,9989473965,471
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,2.0000,50,123,9989474305,9989473965,458
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,1.0000,50,2026,9989474305,9989473965,525
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,50,123,9989474305,9989473965,821
docs\inst_test\instancias\n_1000_1,20,200,1.0000,2.0000,0.1000,0.5000,80,2026,9989474305,9989473965,371
docs\inst_test\instancias\n_1000_1,20,200,1.0000,2.0000,0.1000,0.5000,80,42,9989474305,9989473965,383
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,1.0000,120,2026,9989474305,9989473965,505
